"","Value"
"Virginal biomass per-recruit (BPR0)",232.45
"Current BPR",49.8
"Target BPR",81.36
"Current spawning potential ratio (SPR)",0.21
"Target SPR (SPRtar)",0.35
"Target fishing mortality (Ftar)",0.4
"Overfishing index (F/Ftar)",2.05
"Current yield per-recruit (YPRcur)",29.84
"Target  yield per-recruit (YPRtar)",27.45
