,Año,Y,CPUEdat
1,1,0.00,2.23
2,2,86.14,1.21
3,3,242.64,2.93
4,4,258.11,2.33
5,5,999.86,1.63
6,6,760.42,1.24
7,7,468.50,0.61
8,8,425.35,0.83
9,9,378.27,1.26
10,10,178.79,0.70
11,11,376.66,0.66
12,12,227.24,0.33
13,13,401.44,0.93
14,14,424.64,0.73
15,15,273.73,0.44
16,16,281.94,0.55
17,17,181.81,0.38
18,18,312.78,0.70
19,19,300.11,1.20
20,20,290.00,0.75
