,Año,Y,CPUEdat
1,1,0,2.23
2,2,86.14,2.35
3,3,242.64,2.17
4,4,258.11,2.15
5,5,999.86,1.97
6,6,760.42,1.22
7,7,468.5,0.86
8,8,425.35,0.78
9,9,378.27,0.65
10,10,178.79,0.57
11,11,376.66,0.66
12,12,227.24,0.64
13,13,401.44,0.69
14,14,424.64,0.67
15,15,273.73,0.53
16,16,281.94,0.55
17,17,181.81,0.55
18,18,312.78,0.66
19,19,300.11,0.62
20,20,290,0.61
