"","Value"
"Virginal biomass per-recruit (BPR0)",213.62
"Current BPR",48.03
"Target BPR",74.77
"Current spawning potential ratio (SPR)",0.22
"Target SPR (SPRtar)",0.35
"Target fishing mortality (Ftar)",0.46
"Overfishing index (F/Ftar)",2.11
"Current yield per-recruit (YPRcur)",27.25
"Target  yield per-recruit (YPRtar)",25.28
